,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
88,R-spondin-2,peptide,['rspo2'],,,,,inferred from Mouse
89,R-spondin-3,peptide,['rspo3'],,,,,inferred from Mouse
90,RANK ligand,peptide,['tnfsf11'],,,,,inferred from Human
91,RFRP-3,peptide,['ENSXETG00000031334'],,,,,inferred from Human
92,SRIF-14,peptide,['sst'],,,,,inferred from Mouse
93,SRIF-28,peptide,['sst'],,,,,inferred from Mouse
94,T-kinin,peptide,['kng1'],,,,,inferred from Rat
95,TGFα,peptide,['tgfa'],,,,,inferred from Human
96,TGFβ2,peptide,['tgfb2'],,,,,inferred from Human
97,TGFβ3,peptide,['tgfb1'],,,,,inferred from Human
98,TIP39,peptide,['itga6'],,,,,inferred from Mouse
99,TL1A,peptide,['tnfsf15'],,,,,inferred from Human
100,TRAIL,peptide,['tnfsf10'],,,,,inferred from Human
101,TRH,peptide,"['trh', 'ENSXETG00000039260']",,,,,inferred from Mouse
102,VEGFA,peptide,['vegfa'],,,,,inferred from Human
103,VEGFC,peptide,['vegfc'],,,,,inferred from Human
104,VEGFD,peptide,['vegfd'],,,,,inferred from Human
105,VEGFE,peptide,['pdgfc'],,,,,inferred from Human
106,VIP,peptide,['vip'],,,,,inferred from Mouse
107,Wnt-4,peptide,['wnt4'],,,,,inferred from Human
108,Wnt-5a,peptide,['wnt5a'],,,,,inferred from Human
109,[Leu]enkephalin,peptide,['penk'],,,,,inferred from Mouse
110,[Met]enkephalin,peptide,['penk'],,,,,inferred from Mouse
111,[Pyr1]apelin-13,peptide,['apln'],,,,,inferred from Mouse
112,[des-Arg10]kallidin,peptide,['kng1'],,,,,inferred from Human
113,[des-Arg9]bradykinin,peptide,['kng1'],,,,,inferred from Mouse
114,activin A,peptide,['INHBA'],,,,,inferred from Human
115,activin B,peptide,['inhbb'],,,,,inferred from Human
116,adrenomedullin,peptide,['gdf3'],,,,,inferred from Rat
117,agouti-related protein,peptide,['agrp'],,,,,inferred from Human
118,amphiregulin,peptide,['areg'],,,,,inferred from Human
119,amyloid β,peptide,['app'],,,,,inferred from Human
120,angiopoietin-1,peptide,['angpt1'],,,,,inferred from Human
121,angiotensin A,peptide,['agt'],,,,,inferred from Human
122,angiotensin II,peptide,['agt'],,,,,inferred from Mouse
123,angiotensin III,peptide,['agt'],,,,,inferred from Mouse
124,angiotensin IV,peptide,['agt'],,,,,inferred from Mouse
125,angiotensin-(1-7),peptide,['agt'],,,,,inferred from Mouse
