,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
79,IL-37,peptide,['il1b'],,,,,inferred from Human
80,INSL5,peptide,['insl5a'],,,,,inferred from Mouse
81,LIGHT,peptide,['tnfsf14'],,,,,inferred from Human
82,M-CSF,peptide,"['csf1b', 'csf1a']",,,,,inferred from Human
83,MSMB (91-114),peptide,"['hp', 'si:ch73-132k15.2']",,,,,inferred from Human
84,Müllerian inhibiting substance,peptide,['amh'],,,,,inferred from Human
85,NGF,peptide,"['ngfb', 'ngfa']",,,,,inferred from Human
86,NPY,peptide,"['ngfb', 'ngfa']",,,,,inferred from Human
87,PACAP-27,peptide,['adcyap1b'],,,,,inferred from Mouse
88,PACAP-38,peptide,['adcyap1b'],,,,,inferred from Mouse
89,PAMP-20,peptide,"['adma', 'admb']",,,,,inferred from Human
90,PHM,peptide,"['vip', 'vipb']",,,,,inferred from Human
91,PHV,peptide,"['vip', 'vipb']",,,,,inferred from Rat
92,PTHrP,peptide,"['pthlha', 'pthlhb']",,,,,inferred from Human
93,PTHrP-(1-36),peptide,"['pthlha', 'pthlhb']",,,,,inferred from Human
94,PYY-(3-36),peptide,"['pyyb', 'pyya']",,,,,inferred from Mouse
95,PrRP-20,peptide,['prlh2'],,,,,inferred from Rat
96,PrRP-31,peptide,['prlh2'],,,,,inferred from Rat
97,R-spondin-1,peptide,['rspo1'],,,,,inferred from Mouse
98,R-spondin-2,peptide,['rspo2'],,,,,inferred from Mouse
99,R-spondin-3,peptide,['rspo3'],,,,,inferred from Mouse
100,R-spondin-4,peptide,['rspo4'],,,,,inferred from Mouse
101,RANK ligand,peptide,['tnfsf11'],,,,,inferred from Human
102,RFRP-3,peptide,['npvf'],,,,,inferred from Human
103,SRIF-14,peptide,"['sst2', 'sst1.2', 'sst1.1']",,,,,inferred from Mouse
104,SRIF-28,peptide,"['sst2', 'sst1.2', 'sst1.1']",,,,,inferred from Mouse
105,T-kinin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Rat
106,TGFα,peptide,['tgfa'],,,,,inferred from Human
107,TGFβ1,peptide,"['tgfb1b', 'tgfb1a']",,,,,inferred from Human
108,TGFβ2,peptide,['tgfb2'],,,,,inferred from Human
109,TGFβ3,peptide,['tgfb3'],,,,,inferred from Human
110,TIP39,peptide,['pth2'],,,,,inferred from Mouse
111,TRAIL,peptide,['tnfsf10'],,,,,inferred from Human
112,TRH,peptide,['trh'],,,,,inferred from Mouse
113,VEGFA,peptide,"['vegfab', 'vegfaa']",,,,,inferred from Human
114,VEGFB,peptide,"['vegfba', 'vegfbb']",,,,,inferred from Human
115,VEGFC,peptide,['vegfc'],,,,,inferred from Human
116,VEGFD,peptide,['vegfd'],,,,,inferred from Human
117,VEGFE,peptide,['pdgfc'],,,,,inferred from Human
118,VIP,peptide,"['vip', 'vipb']",,,,,inferred from Mouse
119,Wnt-3a,peptide,['wnt3a'],,,,,inferred from Human
120,Wnt-4,peptide,['wnt4'],,,,,inferred from Human
121,Wnt-5a,peptide,['wnt5a'],,,,,inferred from Human
122,[Leu]enkephalin,peptide,"['penka', 'penkb']",,,,,inferred from Mouse
123,[Met]enkephalin,peptide,"['penka', 'penkb']",,,,,inferred from Mouse
124,[Pyr1]apelin-13,peptide,['apln'],,,,,inferred from Mouse
125,[des-Arg10]kallidin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Human
126,[des-Arg9]bradykinin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Mouse
127,activin A,peptide,"['inhbaa', 'inhbab']",,,,,inferred from Human
128,activin B,peptide,"['inhbb', 'CABZ01074203.1']",,,,,inferred from Human
129,adrenomedullin,peptide,"['adma', 'admb']",,,,,inferred from Rat
130,adrenomedullin 2/intermedin,peptide,"['adm2a', 'adm2b']",,,,,inferred from Human
131,agouti,peptide,['asip1'],,,,,inferred from Mouse
132,agouti-related protein,peptide,['agrp'],,,,,inferred from Human
133,amylin,peptide,['LO017820.1'],,,,,inferred from Mouse
134,amyloid β,peptide,"['appb', 'appa']",,,,,inferred from Human
135,angiopoietin-1,peptide,['angpt1'],,,,,inferred from Human
136,angiopoietin-4,peptide,['angpt4'],,,,,inferred from Human
137,angiotensin A,peptide,['agt'],,,,,inferred from Human
138,angiotensin II,peptide,['agt'],,,,,inferred from Mouse
139,angiotensin III,peptide,['agt'],,,,,inferred from Mouse
140,angiotensin IV,peptide,['agt'],,,,,inferred from Mouse
141,angiotensin-(1-7),peptide,['agt'],,,,,inferred from Mouse
142,annexin I,peptide,"['anxa1a', 'anxa1d', 'anxa1b', 'anxa1c']",,,,,inferred from Human
143,annexin I-(2-26),peptide,"['anxa1a', 'anxa1d', 'anxa1b', 'anxa1c']",,,,,inferred from Human
144,apelin-13,peptide,['apln'],,,,,inferred from Mouse
145,apelin-17,peptide,['apln'],,,,,inferred from Mouse
146,apelin-36,peptide,['apln'],,,,,inferred from Human
147,aprotinin,peptide,['apln'],,,,,inferred from Human
148,atrial natriuretic peptide,peptide,['nppa'],,,,,inferred from Human
149,betacellulin,peptide,['btc'],,,,,inferred from Human
150,bovine adrenal medulla peptide 8-22,peptide,"['penka', 'penkb']",,,,,inferred from Human
151,bradykinin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Mouse
152,brain natriuretic peptide,peptide,['nppb'],,,,,inferred from Human
153,chorionic somatomammotropin hormone-like 1 ,peptide,['gh1'],,,,,inferred from Human
154,ciliary neurotrophic factor,peptide,['m17'],,,,,inferred from Human
155,corticotrophin-releasing hormone,peptide,"['crhb', 'crha']",,,,,inferred from Mouse
156,corticotropin-releasing factor,peptide,"['crhb', 'crha']",,,,,inferred from Mouse
157,cortistatin-14,peptide,['cenps'],,,,,inferred from Mouse
158,des-Br-neuropeptide B-23,peptide,['npb'],,,,,inferred from Human
159,des-Br-neuropeptide B-29,peptide,['npb'],,,,,inferred from Human
160,dynorphin A,peptide,['pdyn'],,,,,inferred from Mouse
