,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
0,L-glutamic acid,molecule,,,"['SLC17A6', 'SLC17A7', 'SLC17A8']","['SLC1A1', 'SLC1A2']",,Manually added genes
1,GABA,molecule,,"['GAD1', 'GAD2']",['SLC32A1'],['SLC6A1'],,Manually added genes
2,glycine,molecule,,,['SLC32A1'],['SLC6A9'],,Manually added genes
5,(-)-adrenaline,molecule,,"['TH', 'DDC', 'DBH', 'PNMT']",['SLC18A2'],,,Manually added genes
6,5-hydroxytryptamine,molecule,,"['TPH2', 'DDC']",['SLC18A2'],['SLC6A4'],,Manually added genes
7,acetylcholine,molecule,,['CHAT'],['SLC18A3'],['SLC5A7'],,Manually added genes
