,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
307,insulin-like growth factor 1,peptide,"['I', 'g', 'f', '1']",,,,,inferred from Mouse
308,insulin-like growth factor 2,peptide,"['Igf2', 'Gm49394']",,,,,inferred from Human
309,kallidin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Human
310,kisspeptin-10,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
311,kisspeptin-13,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
312,kisspeptin-14,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
313,kisspeptin-54,peptide,"['Gm28040', 'Kiss1']",,,,,inferred from Human
314,large neuromedin N,peptide,['Nts'],,,,,inferred from Human
315,large neurotensin,peptide,['Nts'],,,,,inferred from Human
316,leptin,peptide,['Lep'],,,,,inferred from Human
317,liver enriched antimicrobial peptide 2,peptide,['Leap2'],,,,,inferred from Human
319,lymphotoxin-α,peptide,['Lta'],,,,,inferred from Human
320,macrophage stimulating protein 1,peptide,['Mst1'],,,,,inferred from Human
321,melanin-concentrating hormone,peptide,"['P', 'm', 'c', 'h']",,,,,inferred from Mouse
323,mucosal addressin cell adhesion molecule 1,peptide,['Madcam1'],,,,,inferred from Human
324,myostatin,peptide,['Mstn'],,,,,inferred from Human
325,neuregulin-1,peptide,['Nrg1'],,,,,inferred from Human
326,neuregulin-2,peptide,['Nrg2'],,,,,inferred from Human
327,neuregulin-3,peptide,['Nrg3'],,,,,inferred from Human
328,neuregulin-4,peptide,['Nrg4'],,,,,inferred from Human
329,neurokinin A,peptide,"['T', 'a', 'c', '1']",,,,,inferred from Mouse
330,neurokinin B,peptide,"['T', 'a', 'c', '2']",,,,,inferred from Mouse
331,neuromedin B,peptide,"['N', 'm', 'b']",,,,,inferred from Mouse
332,neuromedin N,peptide,"['N', 't', 's']",,,,,inferred from Mouse
333,neuromedin S-33,peptide,['Nms'],,,,,inferred from Human
334,neuromedin U-23,peptide,['Nmu'],,,,,inferred from Rat
335,neuromedin U-25,peptide,['Nmu'],,,,,inferred from Human
336,neuromedin U-8,peptide,['Nmu'],,,,,inferred from Human
337,neuropeptide B-23,peptide,['Npb'],,,,,inferred from Human
338,neuropeptide B-29,peptide,['Npb'],,,,,inferred from Human
339,neuropeptide FF,peptide,"['N', 'p', 'f', 'f']",,,,,inferred from Mouse
340,neuropeptide K,peptide,['Tac1'],,,,,inferred from Rat
341,neuropeptide S,peptide,"['N', 'p', 's']",,,,,inferred from Mouse
342,neuropeptide W-23,peptide,['Npw'],,,,,inferred from Human
343,neuropeptide W-30,peptide,['Npw'],,,,,inferred from Human
344,neuropeptide Y,peptide,"['N', 'p', 'y']",,,,,inferred from Mouse
345,neuropeptide Y-(3-36),peptide,"['N', 'p', 'y']",,,,,inferred from Mouse
346,neuropeptide γ,peptide,"['T', 'a', 'c', '1']",,,,,inferred from Mouse
347,neurotensin,peptide,"['N', 't', 's']",,,,,inferred from Mouse
348,neurotrophin-3,peptide,['Ntf3'],,,,,inferred from Human
349,neurotrophin-4,peptide,['Ntf5'],,,,,inferred from Human
350,nociceptin/orphanin FQ,peptide,"['P', 'n', 'o', 'c']",,,,,inferred from Mouse
351,norrin,peptide,"['N', 'd', 'p']",,,,,inferred from Mouse
352,oncostatin M,peptide,['Osm'],,,,,inferred from Human
353,orexin-A,peptide,"['H', 'c', 'r', 't']",,,,,inferred from Mouse
354,orexin-B,peptide,['Hcrt'],,,,,inferred from Human
355,osteocrin,peptide,['Ostn'],,,,,inferred from Human
356,oxytocin,peptide,"['O', 'x', 't']",,,,,inferred from Mouse
357,pancreatic polypeptide,peptide,['Ppy'],,,,,inferred from Rat
358,peptide YY,peptide,"['P', 'y', 'y']",,,,,inferred from Mouse
359,programmed cell death 1 ligand 1,peptide,['Cd274'],,,,,inferred from Human
360,prokineticin-1,peptide,['Prok1'],,,,,inferred from Human
361,prokineticin-2,peptide,['Prok2'],,,,,inferred from Human
362,prokineticin-2β,peptide,['Prok2'],,,,,inferred from Human
363,prolactin,peptide,"['Prl4a1', 'Prl7a1', 'Prl8a9', 'Prl5a1', 'Prl3c1', 'Prl8a2', 'Prl8a1', 'Prl', 'Prl8a6', 'Prl8a8', 'Prl7b1', 'Prl7d1', 'Prl2a1', 'Prl3a1', 'Prl3b1', 'Prl7a2', 'Prl2c5', 'Prl2c3', 'Prl3d1', 'Prl7c1', 'Prl3d3', 'Prl2c1', 'Prl3d2', 'Prl2b1', 'Prl6a1', 'Prl2c2']",,,,,inferred from Human
364,prosaptide,peptide,['Psap'],,,,,inferred from Human
365,protein S,peptide,['Pros1'],,,,,inferred from Human
366,relaxin,peptide,['Rln1'],,,,,inferred from Rat
367,relaxin-1,peptide,"['Rln1', 'Rln1']",,,,,inferred from Human
368,relaxin-3,peptide,['Rln3'],,,,,inferred from Human
369,relaxin-3 (B chain),peptide,['Rln3'],,,,,inferred from Human
370,ribosomal protein S19,peptide,['Rps19'],,,,,inferred from Human
371,secretin,peptide,['Sct'],,,,,inferred from Rat
372,serum amyloid A,peptide,['Saa3'],,,,,inferred from Human
373,stem cell factor,peptide,['Kitl'],,,,,inferred from Human
374,substance P,peptide,"['T', 'a', 'c', '1']",,,,,inferred from Mouse
375,thrombopoietin,peptide,['Thpo'],,,,,inferred from Human
376,thymic stromal lymphopoietin,peptide,['Tslp'],,,,,inferred from Human
377,tumour necrosis factor membrane form,peptide,['Tnf'],,,,,inferred from Human
378,tumour necrosis factor shed form,peptide,['Tnf'],,,,,inferred from Human
379,urocortin 1,peptide,"['U', 'c', 'n']",,,,,inferred from Mouse
380,urocortin 2,peptide,"['U', 'c', 'n', '2']",,,,,inferred from Mouse
381,urocortin 3,peptide,"['U', 'c', 'n', '3']",,,,,inferred from Mouse
382,uroguanylin,peptide,['Guca2b'],,,,,inferred from Human
383,urotensin II-related peptide,peptide,"['U', 't', 's', '2', 'b']",,,,,inferred from Mouse
384,urotensin-II,peptide,"['U', 't', 's', '2']",,,,,inferred from Mouse
385,vasopressin,peptide,"['A', 'v', 'p']",,,,,inferred from Mouse
386,xenin,peptide,"['C', 'o', 'p', 'a']",,,,,inferred from Mouse
387,α-CGRP,peptide,"['C', 'a', 'l', 'c', 'a']",,,,,inferred from Mouse
388,α-MSH,peptide,"['P', 'o', 'm', 'c']",,,,,inferred from Mouse
389,α-neoendorphin,peptide,"['P', 'd', 'y', 'n']",,,,,inferred from Mouse
390,β-CGRP,peptide,['Calcb'],,,,,inferred from Rat
